"No.","Time","Source","Destination","Protocol","Length","Info"
"313224","182.116360","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4076901 Win=254528 Len=0 TSval=175206680 TSecr=1298112172"
"313225","182.116509","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4084141 Win=249888 Len=0 TSval=175206680 TSecr=1298112172"
"313226","182.116653","192.168.1.58","23.246.45.154","TCP","78","55146  >  443 [ACK] Seq=3936 Ack=3638556 Win=258240 Len=0 TSval=175206680 TSecr=3907540171 SLE=3640004 SRE=3641452"
"313227","182.116829","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4085589 Win=248960 Len=0 TSval=175206680 TSecr=1298112172"
"313228","182.117021","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3641452 Win=257312 Len=0 TSval=175206680 TSecr=3907540172"
"313229","182.117219","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3644348 Win=255456 Len=0 TSval=175206680 TSecr=3907540172"
"313230","182.117239","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313229#1] 55146  >  443 [ACK] Seq=3936 Ack=3644348 Win=255456 Len=0 TSval=175206680 TSecr=3907540172 SLE=3645796 SRE=3647244"
"313231","182.117388","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3648692 Win=252576 Len=0 TSval=175206680 TSecr=3907540172"
"313232","182.117385","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3647244 Win=253504 Len=0 TSval=175206680 TSecr=3907540172"
"313233","182.117521","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3658828 Win=255552 Len=0 TSval=175206680 TSecr=3907540172"
"313234","182.117517","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3654484 Win=258336 Len=0 TSval=175206680 TSecr=3907540172"
"313235","182.117642","192.168.1.58","23.246.45.154","TCP","78","55146  >  443 [ACK] Seq=3936 Ack=3658828 Win=255552 Len=0 TSval=175206680 TSecr=3907540172 SLE=3660276 SRE=3661724"
"313236","182.117646","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3661724 Win=253600 Len=0 TSval=175206680 TSecr=3907540172"
"313237","182.117773","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3664620 Win=251648 Len=0 TSval=175206680 TSecr=3907540172"
"313238","182.117769","192.168.1.58","23.246.45.154","TCP","78","55146  >  443 [ACK] Seq=3936 Ack=3661724 Win=253600 Len=0 TSval=175206680 TSecr=3907540172 SLE=3663172 SRE=3664620"
"313239","182.117896","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3666068 Win=250720 Len=0 TSval=175206680 TSecr=3907540172"
"313240","182.117901","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3095156 Win=260696 Len=0 TSval=175206680 TSecr=3250188502"
"313243","182.120092","192.168.1.58","23.246.45.154","TCP","78","55144  >  443 [ACK] Seq=4898 Ack=3118324 Win=245248 Len=0 TSval=175206681 TSecr=3250188502 SLE=3119772 SRE=3121220"
"313244","182.120379","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3121220 Win=244320 Len=0 TSval=175206681 TSecr=3250188502"
"313245","182.120671","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3122668 Win=243392 Len=0 TSval=175206681 TSecr=3250188508"
"313247","182.121184","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3125564 Win=241536 Len=0 TSval=175206681 TSecr=3250188508"
"313248","182.121475","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3668964 Win=248864 Len=0 TSval=175206681 TSecr=3907540188"
"313249","182.121754","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3674756 Win=245152 Len=0 TSval=175206681 TSecr=3907540188"
"313250","182.122085","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4087037 Win=260696 Len=0 TSval=175206681 TSecr=1298112201"
"313251","182.122352","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4088485 Win=260192 Len=0 TSval=175206681 TSecr=1298112201"
"313252","182.124347","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4089933 Win=259264 Len=0 TSval=175206681 TSecr=1298112201"
"313268","182.135548","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4091381 Win=260696 Len=0 TSval=175206683 TSecr=1298112211"
"313270","182.135994","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4094277 Win=259264 Len=0 TSval=175206683 TSecr=1298112211"
"313272","182.136458","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3677652 Win=260192 Len=0 TSval=175206683 TSecr=3907540211"
"313323","182.146208","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3679100 Win=259264 Len=0 TSval=175206683 TSecr=3907540211"
"313324","182.146497","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4097173 Win=257408 Len=0 TSval=175206683 TSecr=1298112211"
"313325","182.146767","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4100069 Win=255552 Len=0 TSval=175206683 TSecr=1298112211"
"313326","182.146992","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4102965 Win=253696 Len=0 TSval=175206683 TSecr=1298112211"
"313327","182.147168","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313326#1] 55145  >  443 [ACK] Seq=3455 Ack=4102965 Win=253696 Len=0 TSval=175206683 TSecr=1298112211 SLE=4104413 SRE=4105861"
"313328","182.147393","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4105861 Win=251744 Len=0 TSval=175206683 TSecr=1298112211"
"313329","182.147693","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4107309 Win=250816 Len=0 TSval=175206683 TSecr=1298112217"
"313330","182.147993","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3683444 Win=256480 Len=0 TSval=175206683 TSecr=3907540217"
"313331","182.148267","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3684892 Win=255552 Len=0 TSval=175206683 TSecr=3907540217"
"313333","182.148756","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313331#1] 55146  >  443 [ACK] Seq=3936 Ack=3684892 Win=255552 Len=0 TSval=175206683 TSecr=3907540217 SLE=3686340 SRE=3687788"
"313334","182.149029","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3687788 Win=253600 Len=0 TSval=175206683 TSecr=3907540218"
"313335","182.149319","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4108757 Win=249888 Len=0 TSval=175206683 TSecr=1298112217"
"313336","182.149592","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3689236 Win=252672 Len=0 TSval=175206683 TSecr=3907540218"
"313337","182.149831","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=249888 Len=0 TSval=175206683 TSecr=3907540218"
"313364","182.212011","192.168.1.58","23.246.45.154","TCP","78","[TCP Window Update] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206688 TSecr=3907540218 SLE=3695028 SRE=3696476"
"313365","182.212336","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#1] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206688 TSecr=3907540218 SLE=3695028 SRE=3699372"
"313366","182.212613","192.168.1.58","23.246.45.154","TCP","86","[TCP Dup ACK 313337#2] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206688 TSecr=3907540218 SLE=3700820 SRE=3702268 SLE=3695028 SRE=3699372"
"313367","182.212917","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#3] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206688 TSecr=3907540218 SLE=3695028 SRE=3702268"
"313368","182.213163","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#4] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206688 TSecr=3907540218 SLE=3695028 SRE=3712404"
"313369","182.213462","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3127012 Win=260696 Len=0 TSval=175206689 TSecr=3250188548"
"313370","182.213746","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3129908 Win=259264 Len=0 TSval=175206689 TSecr=3250188548"
"313371","182.214022","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313370#1] 55144  >  443 [ACK] Seq=4898 Ack=3129908 Win=259264 Len=0 TSval=175206689 TSecr=3250188548 SLE=3131356 SRE=3132804"
"313372","182.214262","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4110205 Win=260696 Len=0 TSval=175206689 TSecr=1298112222"
"313373","182.214238","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3132804 Win=257312 Len=0 TSval=175206689 TSecr=3250188548"
"313374","182.214450","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4111653 Win=260192 Len=0 TSval=175206689 TSecr=1298112222"
"313375","182.214437","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3151628 Win=245248 Len=0 TSval=175206689 TSecr=3250188548"
"313376","182.214600","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#5] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206689 TSecr=3907540218 SLE=3695028 SRE=3716748"
"313377","182.214600","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4113101 Win=259264 Len=0 TSval=175206689 TSecr=1298112230"
"313378","182.214758","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#6] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206690 TSecr=3907540218 SLE=3695028 SRE=3719644"
"313379","182.214755","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3158868 Win=240512 Len=0 TSval=175206690 TSecr=3250188554"
"313380","182.214917","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4115997 Win=257408 Len=0 TSval=175206690 TSecr=1298112236"
"313381","182.214935","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4114549 Win=258336 Len=0 TSval=175206690 TSecr=1298112236"
"313382","182.215076","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#7] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206690 TSecr=3907540218 SLE=3695028 SRE=3721092"
"313383","182.215081","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4118893 Win=255552 Len=0 TSval=175206690 TSecr=1298112241"
"313384","182.215233","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4121789 Win=260192 Len=0 TSval=175206690 TSecr=1298112241"
"313385","182.215234","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4126133 Win=257408 Len=0 TSval=175206690 TSecr=1298112241"
"313386","182.216027","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#8] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206691 TSecr=3907540218 SLE=3695028 SRE=3726884"
"313387","182.216349","192.168.1.58","23.246.45.154","TCP","86","[TCP Dup ACK 313337#9] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206691 TSecr=3907540218 SLE=3728332 SRE=3729780 SLE=3695028 SRE=3726884"
"313388","182.216625","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#10] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206691 TSecr=3907540218 SLE=3695028 SRE=3729780"
"313389","182.216900","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#11] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206691 TSecr=3907540218 SLE=3695028 SRE=3732676"
"313390","182.217191","192.168.1.58","23.246.45.154","TCP","86","[TCP Dup ACK 313337#12] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206691 TSecr=3907540218 SLE=3734124 SRE=3735572 SLE=3695028 SRE=3732676"
"313391","182.217478","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4131925 Win=258336 Len=0 TSval=175206691 TSecr=1298112248"
"313392","182.217745","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313337#13] 55146  >  443 [ACK] Seq=3936 Ack=3693580 Win=260696 Len=0 TSval=175206691 TSecr=3907540218 SLE=3695028 SRE=3735572"
"313448","182.239055","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4133373 Win=260696 Len=0 TSval=175206692 TSecr=1298112310"
"313449","182.239363","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4137717 Win=258336 Len=0 TSval=175206692 TSecr=1298112312"
"313450","182.239990","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4140613 Win=256480 Len=0 TSval=175206692 TSecr=1298112312"
"313451","182.240322","192.168.1.58","23.246.45.154","TCP","78","55145  >  443 [ACK] Seq=3455 Ack=4147853 Win=250816 Len=0 TSval=175206693 TSecr=1298112312 SLE=4149301 SRE=4150749"
"313452","182.240670","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4150749 Win=249888 Len=0 TSval=175206693 TSecr=1298112312"
"313453","182.240954","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3735572 Win=234464 Len=0 TSval=175206693 TSecr=3907540312"
"313472","182.273474","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3737020 Win=260696 Len=0 TSval=175206696 TSecr=3907540312"
"313473","182.273717","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313472#1] 55146  >  443 [ACK] Seq=3936 Ack=3737020 Win=260696 Len=0 TSval=175206696 TSecr=3907540312 SLE=3738468 SRE=3739916"
"313474","182.273885","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3739916 Win=259168 Len=0 TSval=175206696 TSecr=3907540312"
"313475","182.274063","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3741364 Win=260696 Len=0 TSval=175206696 TSecr=3907540312"
"313476","182.274212","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3742812 Win=260192 Len=0 TSval=175206696 TSecr=3907540312"
"313477","182.274346","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313476#1] 55146  >  443 [ACK] Seq=3936 Ack=3742812 Win=260192 Len=0 TSval=175206696 TSecr=3907540312 SLE=3744260 SRE=3745708"
"313478","182.274467","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3745708 Win=258240 Len=0 TSval=175206696 TSecr=3907540312"
"313479","182.274628","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3747156 Win=257312 Len=0 TSval=175206696 TSecr=3907540312"
"313480","182.274809","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3748604 Win=256384 Len=0 TSval=175206696 TSecr=3907540312"
"313481","182.274966","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3750052 Win=255456 Len=0 TSval=175206696 TSecr=3907540312"
"313482","182.275123","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3161764 Win=260192 Len=0 TSval=175206696 TSecr=3250188643"
"313496","182.323227","192.168.1.58","23.246.45.154","TCP","78","55144  >  443 [ACK] Seq=4898 Ack=3163212 Win=260696 Len=0 TSval=175206700 TSecr=3250188643 SLE=3129908 SRE=3131356"
"313497","182.323476","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3167556 Win=258336 Len=0 TSval=175206700 TSecr=3250188643"
"313498","182.323644","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313497#1] 55144  >  443 [ACK] Seq=4898 Ack=3167556 Win=258336 Len=0 TSval=175206700 TSecr=3250188643 SLE=3169004 SRE=3170452"
"313499","182.326232","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3170452 Win=256384 Len=0 TSval=175206700 TSecr=3250188643"
"313500","182.329799","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313499#1] 55144  >  443 [ACK] Seq=4898 Ack=3170452 Win=256384 Len=0 TSval=175206700 TSecr=3250188643 SLE=3171900 SRE=3173348"
"313501","182.330032","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3173348 Win=254432 Len=0 TSval=175206701 TSecr=3250188643"
"313502","182.330216","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3177692 Win=251648 Len=0 TSval=175206701 TSecr=3250188643"
"313503","182.330487","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3182036 Win=259264 Len=0 TSval=175206701 TSecr=3250188643"
"313504","182.330688","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313503#1] 55144  >  443 [ACK] Seq=4898 Ack=3182036 Win=259264 Len=0 TSval=175206701 TSecr=3250188643 SLE=3183484 SRE=3184932"
"313505","182.330847","192.168.1.58","23.246.45.154","TCP","78","[TCP Window Update] 55145  >  443 [ACK] Seq=3455 Ack=4150749 Win=260696 Len=0 TSval=175206701 TSecr=1298112312 SLE=4152197 SRE=4153645"
"313506","182.330998","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4153645 Win=260096 Len=0 TSval=175206701 TSecr=1298112317"
"313507","182.331197","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3751500 Win=260696 Len=0 TSval=175206701 TSecr=3907540317"
"313508","182.331403","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4156541 Win=258240 Len=0 TSval=175206701 TSecr=1298112317"
"313509","182.331584","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3752948 Win=260192 Len=0 TSval=175206701 TSecr=3907540317"
"313535","182.387425","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4160885 Win=259264 Len=0 TSval=175206705 TSecr=1298112337"
"313536","182.387626","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4165229 Win=256480 Len=0 TSval=175206705 TSecr=1298112337"
"313537","182.387759","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3755844 Win=260192 Len=0 TSval=175206705 TSecr=3907540337"
"313538","182.387877","192.168.1.58","23.246.45.154","TCP","78","[TCP Window Update] 55146  >  443 [ACK] Seq=3936 Ack=3755844 Win=260696 Len=0 TSval=175206707 TSecr=3907540337 SLE=3757292 SRE=3758740"
"313539","182.387992","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4168125 Win=260192 Len=0 TSval=175206707 TSecr=1298112338"
"313540","182.388111","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3758740 Win=260096 Len=0 TSval=175206707 TSecr=3907540337"
"313541","182.388225","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313539#1] 55145  >  443 [ACK] Seq=3455 Ack=4168125 Win=260192 Len=0 TSval=175206707 TSecr=1298112338 SLE=4169573 SRE=4171021"
"313542","182.388344","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4171021 Win=258240 Len=0 TSval=175206707 TSecr=1298112338"
"313543","182.388464","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4176813 Win=254528 Len=0 TSval=175206707 TSecr=1298112338"
"313544","182.388579","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3760188 Win=259168 Len=0 TSval=175206707 TSecr=3907540368"
"313545","182.388694","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3765980 Win=255456 Len=0 TSval=175206707 TSecr=3907540368"
"313546","182.388805","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3767428 Win=254528 Len=0 TSval=175206707 TSecr=3907540368"
"313547","182.388914","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3770324 Win=252672 Len=0 TSval=175206707 TSecr=3907540374"
"313548","182.396734","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3771772 Win=260696 Len=0 TSval=175206708 TSecr=3907540374"
"313579","182.409481","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3196516 Win=260192 Len=0 TSval=175206709 TSecr=3250188705"
"313580","182.409711","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3197964 Win=259264 Len=0 TSval=175206709 TSecr=3250188749"
"313581","182.409934","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3202308 Win=256480 Len=0 TSval=175206709 TSecr=3250188749"
"313582","182.410096","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313581#1] 55144  >  443 [ACK] Seq=4898 Ack=3202308 Win=256480 Len=0 TSval=175206709 TSecr=3250188749 SLE=3167556 SRE=3169004"
"313583","182.410254","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=259264 Len=0 TSval=175206709 TSecr=3907540374"
"313584","182.410479","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3206652 Win=253696 Len=0 TSval=175206709 TSecr=3250188754"
"313585","182.410686","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4181157 Win=259264 Len=0 TSval=175206709 TSecr=1298112431"
"313587","182.422912","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4182605 Win=260696 Len=0 TSval=175206710 TSecr=1298112431"
"313598","182.451828","192.168.1.58","23.246.45.154","TCP","78","[TCP Window Update] 55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=260696 Len=0 TSval=175206714 TSecr=3907540374 SLE=3776116 SRE=3777564"
"313599","182.468468","192.168.1.58","23.246.45.154","TCP","78","[TCP Window Update] 55144  >  443 [ACK] Seq=4898 Ack=3206652 Win=260696 Len=0 TSval=175206714 TSecr=3250188754 SLE=3170452 SRE=3171900"
"313600","182.468712","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=4898 Ack=3218236 Win=254624 Len=0 TSval=175206714 TSecr=3250188762"
"313601","182.468880","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313600#1] 55144  >  443 [ACK] Seq=4898 Ack=3218236 Win=254624 Len=0 TSval=175206714 TSecr=3250188762 SLE=3182036 SRE=3183484"
"313602","182.469034","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313583#1] 55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=260696 Len=0 TSval=175206714 TSecr=3907540374 SLE=3776116 SRE=3779012"
"313603","182.469211","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4185501 Win=260192 Len=0 TSval=175206714 TSecr=1298112482"
"313604","182.469386","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313583#2] 55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=260696 Len=0 TSval=175206714 TSecr=3907540374 SLE=3776116 SRE=3780460"
"313605","182.469539","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4191293 Win=256480 Len=0 TSval=175206714 TSecr=1298112482"
"313606","182.469745","192.168.1.58","23.246.45.154","TCP","86","[TCP Dup ACK 313583#3] 55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=260696 Len=0 TSval=175206714 TSecr=3907540374 SLE=3755844 SRE=3757292 SLE=3776116 SRE=3780460"
"313607","182.469920","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313583#4] 55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=260696 Len=0 TSval=175206715 TSecr=3907540374 SLE=3776116 SRE=3787700"
"313608","182.469933","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313583#5] 55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=260696 Len=0 TSval=175206715 TSecr=3907540374 SLE=3776116 SRE=3786252"
"313609","182.470085","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4192741 Win=255552 Len=0 TSval=175206715 TSecr=1298112488"
"313610","182.470083","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313583#6] 55146  >  443 [ACK] Seq=3936 Ack=3774668 Win=260696 Len=0 TSval=175206715 TSecr=3907540374 SLE=3776116 SRE=3793492"
"313611","182.470238","192.168.1.58","23.246.45.154","TCP","78","55145  >  443 [ACK] Seq=3455 Ack=4194189 Win=254624 Len=0 TSval=175206715 TSecr=1298112488 SLE=4168125 SRE=4169573"
"313612","182.470237","192.168.1.58","23.246.45.154","TCP","66","[TCP Dup ACK 313611#1] 55145  >  443 [ACK] Seq=3455 Ack=4194189 Win=254624 Len=0 TSval=175206715 TSecr=1298112488"
"313613","182.470432","192.168.1.58","23.246.45.154","TCP","78","[TCP Dup ACK 313611#2] 55145  >  443 [ACK] Seq=3455 Ack=4194189 Win=254624 Len=0 TSval=175206715 TSecr=1298112488 SLE=4195637 SRE=4197085"
"313614","182.470441","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=3455 Ack=4197085 Win=252672 Len=0 TSval=175206715 TSecr=1298112488"
