"No.","Time","Source","Destination","Protocol","Length","Info"
"126385","69.884543","192.168.1.58","52.32.33.253","TCP","66","57010  >  80 [ACK] Seq=20731 Ack=13808 Win=491 Len=0 TSval=175195454 TSecr=1611728125"
"126386","69.884677","192.168.1.58","52.32.33.253","TCP","66","57010  >  80 [ACK] Seq=20731 Ack=18927 Win=502 Len=0 TSval=175195454 TSecr=1611728125"
"169826","95.902745","192.168.1.99","54.175.224.52","TCP","66","[TCP Dup ACK 11518#1] 38556  >  2350 [ACK] Seq=1 Ack=1 Win=390 Len=0 TSval=485418944 TSecr=1431206823"
"189862","106.992056","192.168.1.58","34.207.189.81","TCP","66","[TCP Dup ACK 31483#1] 34914  >  2350 [ACK] Seq=1 Ack=1 Win=373 Len=0 TSval=175199168 TSecr=1431210715"
"229781","129.377682","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=20731 Ack=18927 Win=502 Len=1448 TSval=175201407 TSecr=1611728125"
"229782","129.377689","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=22179 Ack=18927 Win=502 Len=1448 TSval=175201407 TSecr=1611728125"
"229783","129.377842","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=23627 Ack=18927 Win=502 Len=1448 TSval=175201407 TSecr=1611728125 [TCP segment of a reassembled PDU]"
"229785","129.377975","192.168.1.58","52.32.33.253","TCP","1514","[TCP Previous segment not captured] 57010  >  80 [ACK] Seq=26523 Ack=18927 Win=502 Len=1448 TSval=175201407 TSecr=1611728125 [TCP segment of a reassembled PDU]"
"229786","129.377972","192.168.1.58","52.32.33.253","TCP","1514","[TCP Retransmission] 57010  >  80 [ACK] Seq=25075 Ack=18927 Win=502 Len=1448 TSval=175201407 TSecr=1611728125"
"229787","129.378119","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=27971 Ack=18927 Win=502 Len=1448 TSval=175201407 TSecr=1611728125 [TCP segment of a reassembled PDU]"
"230094","129.506337","192.168.1.58","52.32.33.253","TCP","1514","[TCP Previous segment not captured] 57010  >  80 [ACK] Seq=30867 Ack=18927 Win=502 Len=1448 TSval=175201419 TSecr=1611743035 [TCP segment of a reassembled PDU]"
"230095","129.506335","192.168.1.58","52.32.33.253","TCP","1514","[TCP Retransmission] 57010  >  80 [ACK] Seq=29419 Ack=18927 Win=502 Len=1448 TSval=175201419 TSecr=1611743035"
"230099","129.506621","192.168.1.58","52.32.33.253","TCP","1018","57010  >  80 [PSH, ACK] Seq=32315 Ack=18927 Win=502 Len=952 TSval=175201419 TSecr=1611743035 [TCP segment of a reassembled PDU]"
"230782","129.752546","192.168.1.58","52.32.33.253","TCP","66","57010  >  80 [ACK] Seq=33267 Ack=23271 Win=491 Len=0 TSval=175201444 TSecr=1611743101"
"230787","129.753468","192.168.1.58","52.32.33.253","TCP","66","57010  >  80 [ACK] Seq=33267 Ack=28390 Win=486 Len=0 TSval=175201444 TSecr=1611743101"
"244375","138.539212","192.168.1.209","52.87.251.209","TCP","66","[TCP Dup ACK 88918#1] 53738  >  2350 [ACK] Seq=1 Ack=1 Win=390 Len=0 TSval=302532832 TSecr=1431218700"
"302090","175.216640","192.168.1.58","54.164.178.66","TLSv1.2","97","Encrypted Alert"
"302091","175.216935","192.168.1.58","54.164.178.66","TCP","66","34428  >  443 [RST, ACK] Seq=32 Ack=1 Win=400 Len=0 TSval=175205991 TSecr=772877514"
"302258","175.345314","192.168.1.58","34.196.216.149","TCP","74","53351  >  443 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=175206003 TSecr=0 WS=128"
"302312","175.418707","192.168.1.58","34.196.216.149","TCP","66","53351  >  443 [ACK] Seq=1 Ack=1 Win=42368 Len=0 TSval=175206011 TSecr=7578071"
"302315","175.420842","192.168.1.58","34.196.216.149","TLSv1.2","583","Client Hello"
"302367","175.511615","192.168.1.58","34.196.216.149","TCP","66","53351  >  443 [ACK] Seq=518 Ack=2956 Win=48256 Len=0 TSval=175206020 TSecr=7578139"
"302373","175.530123","192.168.1.58","34.196.216.149","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"302430","175.602458","192.168.1.58","34.196.216.149","TLSv1.2","1008","Application Data"
"302483","175.689449","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=1586 Ack=3061 Win=48256 Len=1448 TSval=175206037 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302484","175.689664","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=3034 Ack=3061 Win=48256 Len=1448 TSval=175206038 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302485","175.689803","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=4482 Ack=3061 Win=48256 Len=1448 TSval=175206038 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302486","175.689927","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=5930 Ack=3061 Win=48256 Len=1448 TSval=175206038 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302487","175.690050","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=7378 Ack=3061 Win=48256 Len=1448 TSval=175206038 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302488","175.690175","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=8826 Ack=3061 Win=48256 Len=1448 TSval=175206038 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302489","175.690295","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=10274 Ack=3061 Win=48256 Len=1448 TSval=175206038 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302490","175.690511","192.168.1.58","34.196.216.149","TCP","1514","53351  >  443 [ACK] Seq=11722 Ack=3061 Win=48256 Len=1448 TSval=175206038 TSecr=7578183 [TCP segment of a reassembled PDU]"
"302491","175.690683","192.168.1.58","34.196.216.149","TLSv1.2","583","Application Data"
"302562","175.815881","192.168.1.58","34.196.216.149","TCP","66","53351  >  443 [ACK] Seq=13687 Ack=3252 Win=51200 Len=0 TSval=175206051 TSecr=7578207"
"302621","175.905823","192.168.1.58","23.246.45.154","TCP","74","55144  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=175206059 TSecr=0 WS=4"
"302622","175.906197","192.168.1.58","23.246.45.154","TCP","74","55145  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=175206059 TSecr=0 WS=4"
"302623","175.906571","192.168.1.58","23.246.45.154","TCP","74","55146  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=175206059 TSecr=0 WS=4"
"302632","175.927690","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0 TSval=175206062 TSecr=3907534006"
"302635","175.939359","192.168.1.58","23.246.45.154","TLSv1.2","583","Client Hello"
"302640","175.957954","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0 TSval=175206065 TSecr=1298106006"
"302642","175.961165","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=33267 Ack=28390 Win=502 Len=1448 TSval=175206065 TSecr=1611743101"
"302643","175.961387","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=34715 Ack=28390 Win=502 Len=1448 TSval=175206065 TSecr=1611743101"
"302644","175.961524","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=36163 Ack=28390 Win=502 Len=1448 TSval=175206065 TSecr=1611743101 [TCP segment of a reassembled PDU]"
"302645","175.961647","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=37611 Ack=28390 Win=502 Len=1448 TSval=175206065 TSecr=1611743101 [TCP segment of a reassembled PDU]"
"302646","175.961772","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=39059 Ack=28390 Win=502 Len=1448 TSval=175206065 TSecr=1611743101 [TCP segment of a reassembled PDU]"
"302648","175.962141","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0 TSval=175206065 TSecr=3250182337"
"302650","175.962513","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=518 Ack=98 Win=64240 Len=0 TSval=175206065 TSecr=3907534035"
"302651","175.962640","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=518 Ack=143 Win=64240 Len=0 TSval=175206065 TSecr=3907534036"
"302660","175.978247","192.168.1.58","23.246.45.154","TLSv1.2","583","Client Hello"
"302664","175.979600","192.168.1.58","23.246.45.154","TLSv1.2","583","Client Hello"
"302666","175.980720","192.168.1.58","23.246.45.154","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"302686","176.001857","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=518 Ack=98 Win=64240 Len=0 TSval=175206069 TSecr=1298106079"
"302687","176.001990","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=518 Ack=143 Win=64240 Len=0 TSval=175206069 TSecr=1298106079"
"302689","176.002850","192.168.1.58","23.246.45.154","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"302690","176.003613","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=518 Ack=98 Win=64240 Len=0 TSval=175206069 TSecr=3250182410"
"302691","176.003838","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=518 Ack=143 Win=64240 Len=0 TSval=175206069 TSecr=3250182410"
"302696","176.016495","192.168.1.58","23.246.45.154","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"302715","176.064661","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=40507 Ack=28390 Win=502 Len=1448 TSval=175206075 TSecr=1611754680 [TCP segment of a reassembled PDU]"
